,acousticness,album_id,album_name,analysis_url,artist_ids,artist_names,danceability,disc_number,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,popularity,preview_url,song_id,song_name,speechiness,tempo,time_signature,track_href,track_number,valence
2153,0.996,370lBw4JOlF1CeDRKPqfFh,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/1B3Na98RxPsIp0Mg9fyxH0,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.543,4,228813,0.237,0.874,4,0.194,-22.944,1,6,https://p.scdn.co/mp3-preview/5eee76660640bb99853269ab0c72ffc2b2d1949e?cid=6d24f4609a484836999313e6e4f33db8,1B3Na98RxPsIp0Mg9fyxH0,Music for 18 Musicians: Section IIIB,0.0414,110.845,3,https://api.spotify.com/v1/tracks/1B3Na98RxPsIp0Mg9fyxH0,5,0.837
2154,0.00534,0dSDOoQ2jDQAjMzkhJQAy9,Reductions 1995–1997,https://api.spotify.com/v1/audio-analysis/2FQBVlbV3EbD5Dds3etfdn,3X6ixxUtf9bJr1aZbhFuia,Vainqueur,0.919,1,587051,0.356,3.25e-05,7,0.158,-13.946,1,10,https://p.scdn.co/mp3-preview/684ba11c55372914d0c0427da9bd7ebb4bfff8a4?cid=6d24f4609a484836999313e6e4f33db8,2FQBVlbV3EbD5Dds3etfdn,"Reduce, Pt. 2",0.462,129.88,4,https://api.spotify.com/v1/tracks/2FQBVlbV3EbD5Dds3etfdn,2,0.169
2155,0.336,2Fuibl4cQqiDBaT8kmE1Uh,A Retrospective 1995-2000,https://api.spotify.com/v1/audio-analysis/2o9l0DBTs4RRgFTvQo2bJf,7AhDVqsNA5q46WKsRPXvoe,Son Volt,0.65,1,132147,0.336,0.000113,9,0.0981,-11.022,1,4,https://p.scdn.co/mp3-preview/34cb207e1b9de838556d912e9e579d9d7585c479?cid=6d24f4609a484836999313e6e4f33db8,2o9l0DBTs4RRgFTvQo2bJf,Flow - Acoustic Cafe,0.0312,122.046,4,https://api.spotify.com/v1/tracks/2o9l0DBTs4RRgFTvQo2bJf,4,0.793
2156,0.0227,6YnDJ1oMvmhjcrHz0tN5ZB,CRUISE RECORD 1995-2000,https://api.spotify.com/v1/audio-analysis/2rugWPRmVJFIr5qbD6EbaH,5O6t6gb6MeNqzOBAq1oLad,globe,0.701,2,375867,0.855,0.00021,0,0.0523,-3.288,1,18,https://p.scdn.co/mp3-preview/8db973839a5cd55deb78e402b400aad01b69c36f?cid=6d24f4609a484836999313e6e4f33db8,2rugWPRmVJFIr5qbD6EbaH,FACE - Straight Run,0.0284,112.125,4,https://api.spotify.com/v1/tracks/2rugWPRmVJFIr5qbD6EbaH,9,0.154
2157,0.988,370lBw4JOlF1CeDRKPqfFh,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/2t2DS4HwGumYpkC1OEEJfF,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.535,4,294200,0.676,0.945,6,0.189,-13.234,0,6,https://p.scdn.co/mp3-preview/8eca09a6fe331baa34b036b4f974d0a6ba9f0898?cid=6d24f4609a484836999313e6e4f33db8,2t2DS4HwGumYpkC1OEEJfF,Music for 18 Musicians: Section VI,0.0447,102.425,3,https://api.spotify.com/v1/tracks/2t2DS4HwGumYpkC1OEEJfF,8,0.521
2158,0.869,1YksI1vvItkdH95NBfjTvX,O Melhor 1995 -2013,https://api.spotify.com/v1/audio-analysis/3DJLqZA0BrkUj1bXJd64l5,3MLPFTe4BrpEV2eOVG0gLK,Camane,0.551,1,210813,0.306,3.24e-05,5,0.094,-9.777,1,21,https://p.scdn.co/mp3-preview/08ad719fa986546bee2c3106debb62fb5f3eca2e?cid=6d24f4609a484836999313e6e4f33db8,3DJLqZA0BrkUj1bXJd64l5,A Cantar É Que Te Deixas Levar,0.0409,133.265,4,https://api.spotify.com/v1/tracks/3DJLqZA0BrkUj1bXJd64l5,3,0.378
2159,0.297,370lBw4JOlF1CeDRKPqfFh,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/3i8AigePIJ0Y2aQjpA9Kxc,"1aVONoJ0EM97BB26etc1vo,6JdE5RRS1sROX7W6AiprbP","Steve Reich,Russell Hartenberger",0.61,3,288093,0.999,0.908,1,0.0845,-23.668,1,4,https://p.scdn.co/mp3-preview/476b7ccbe10ae75141ef77bf6b11b94005c4612a?cid=6d24f4609a484836999313e6e4f33db8,3i8AigePIJ0Y2aQjpA9Kxc,Clapping Music,0.0388,92.919,3,https://api.spotify.com/v1/tracks/3i8AigePIJ0Y2aQjpA9Kxc,2,0.0198
2160,0.795,1YksI1vvItkdH95NBfjTvX,O Melhor 1995 -2013,https://api.spotify.com/v1/audio-analysis/3n8mWqXEphThC2Dv6NCwQ6,3MLPFTe4BrpEV2eOVG0gLK,Camane,0.574,1,230573,0.199,0.000512,7,0.0716,-10.273,1,21,https://p.scdn.co/mp3-preview/06e04b2e3c1e2ce35ad1dfff960785aeec2bbbf5?cid=6d24f4609a484836999313e6e4f33db8,3n8mWqXEphThC2Dv6NCwQ6,Se Ao Menos Houvesse Um Dia,0.0354,118.279,3,https://api.spotify.com/v1/tracks/3n8mWqXEphThC2Dv6NCwQ6,2,0.342
2161,0.192,4OGGhnRkT4uFvmEpxdwZ8K,Live At Montreux 1995,https://api.spotify.com/v1/audio-analysis/3xakqnUpklgWRTzny1YQs2,320TrJub4arztwXRm7kqVO,Dr. John,0.477,1,484400,0.851,0.000454,8,0.838,-7.921,1,3,,3xakqnUpklgWRTzny1YQs2,Mess Around - Live,0.0499,121.596,4,https://api.spotify.com/v1/tracks/3xakqnUpklgWRTzny1YQs2,11,0.713
2162,0.942,5FY7ybJdE1ZybrTtvnMCIu,"Volume 2, 1993-1995",https://api.spotify.com/v1/audio-analysis/5ohQEHkwjcdEx0eVV9WrJ1,3Dt0FgNZT5Wz8aJWMFcJ4H,Andy Prieboy,0.411,1,266866,0.0257,0.0,0,0.0854,-20.227,1,4,https://p.scdn.co/mp3-preview/7061a4a34335d22b3aa2feeb64a0ff86ea3a0ded?cid=6d24f4609a484836999313e6e4f33db8,5ohQEHkwjcdEx0eVV9WrJ1,When This Dream Is Over,0.039,114.828,4,https://api.spotify.com/v1/tracks/5ohQEHkwjcdEx0eVV9WrJ1,12,0.22
2163,0.996,5irqc0pzjJzdVmIKu5DX4Q,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/67eyymVsvChGmn6gqH7x6k,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.543,1,228813,0.237,0.874,4,0.194,-22.944,1,8,https://p.scdn.co/mp3-preview/5eee76660640bb99853269ab0c72ffc2b2d1949e?cid=6d24f4609a484836999313e6e4f33db8,67eyymVsvChGmn6gqH7x6k,Music for 18 Musicians: Section IIIB,0.0414,110.845,3,https://api.spotify.com/v1/tracks/67eyymVsvChGmn6gqH7x6k,17,0.837
2164,0.0527,3ffRqF7fmxfOW2gtDvt60A,The Library 1995-1999,https://api.spotify.com/v1/audio-analysis/7rXRf6EiTqLKJQrqhWHM3O,"5wwleY8YnxnutxOExPVoJb,0Z5hmVxMatrIWgNi989seP","Killarmy,Remedy",0.765,1,259733,0.443,0.0,7,0.0886,-14.503,1,6,https://p.scdn.co/mp3-preview/d48f0fa2fb82f6d1ff3dd18f4a50952a2dd18820?cid=6d24f4609a484836999313e6e4f33db8,7rXRf6EiTqLKJQrqhWHM3O,The Anthem,0.305,93.968,4,https://api.spotify.com/v1/tracks/7rXRf6EiTqLKJQrqhWHM3O,2,0.417
2165,0.00901,4D6whqe9R4XaOKXr6NfVPH,Dziesmu Izlase 1995-2005,https://api.spotify.com/v1/audio-analysis/4q0yQlfsqMxjXxSqaQjlfL,152t0se41fdD2sxIUS6i5i,Livi,0.465,1,263987,0.595,0.0218,9,0.119,-9.895,1,5,https://p.scdn.co/mp3-preview/7d56b64006fe7bbbe66db42745a235d4301db167?cid=6d24f4609a484836999313e6e4f33db8,4q0yQlfsqMxjXxSqaQjlfL,Pāri Visam,0.0264,81.968,4,https://api.spotify.com/v1/tracks/4q0yQlfsqMxjXxSqaQjlfL,15,0.447
2166,0.328,0Udd9h3smwtDOvoFx0AI77,Eliana de Lima - 1995,https://api.spotify.com/v1/audio-analysis/665FCV5nDBXnlyqlLSghEO,44bTyoaIb7WzzkYNj4y0cX,Eliana de Lima,0.687,1,191467,0.543,0.0,5,0.0689,-10.223,1,7,https://p.scdn.co/mp3-preview/617be17eca5c674a65a39606c5ccce165ae77df9?cid=6d24f4609a484836999313e6e4f33db8,665FCV5nDBXnlyqlLSghEO,Como Eu Quero,0.0353,137.146,4,https://api.spotify.com/v1/tracks/665FCV5nDBXnlyqlLSghEO,4,0.73
2167,0.621,0Udd9h3smwtDOvoFx0AI77,Eliana de Lima - 1995,https://api.spotify.com/v1/audio-analysis/6N3Lx7oNAeGCW26Xwy9obU,44bTyoaIb7WzzkYNj4y0cX,Eliana de Lima,0.519,1,214400,0.582,2.57e-06,5,0.0982,-7.708,1,5,https://p.scdn.co/mp3-preview/92326dc320eafa1da0c701cc27b42aeae24f0ed0?cid=6d24f4609a484836999313e6e4f33db8,6N3Lx7oNAeGCW26Xwy9obU,Anoiteceu,0.0276,139.687,4,https://api.spotify.com/v1/tracks/6N3Lx7oNAeGCW26Xwy9obU,3,0.415
2168,0.0131,2twcvjzNuUQVdvw4TrWuVZ,Incidental Music: 1991 - 1995,https://api.spotify.com/v1/audio-analysis/17b64oC3XJp5dlBnkPTKCG,7lmde7T1WJPFwv1eR6melP,Superchunk,0.204,1,168693,0.991,0.875,7,0.375,-3.055,1,4,https://p.scdn.co/mp3-preview/b983b7d347cb051c74608d84484aa239a6f94276?cid=6d24f4609a484836999313e6e4f33db8,17b64oC3XJp5dlBnkPTKCG,Connecticut,0.0902,116.806,4,https://api.spotify.com/v1/tracks/17b64oC3XJp5dlBnkPTKCG,12,0.374
2169,0.992,5irqc0pzjJzdVmIKu5DX4Q,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/1FeuqgHQB03kiLUMQKw906,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.581,1,370773,0.464,0.949,6,0.109,-21.141,0,5,https://p.scdn.co/mp3-preview/95a822b60d2e14d335756ac7174ccd91e3ecef04?cid=6d24f4609a484836999313e6e4f33db8,1FeuqgHQB03kiLUMQKw906,Music for 18 Musicians: Pulses,0.0545,103.077,4,https://api.spotify.com/v1/tracks/1FeuqgHQB03kiLUMQKw906,26,0.336
2170,0.175,0dSDOoQ2jDQAjMzkhJQAy9,Reductions 1995–1997,https://api.spotify.com/v1/audio-analysis/1GngP8D4ixBspJdo9JnMlj,3X6ixxUtf9bJr1aZbhFuia,Vainqueur,0.721,1,690732,0.568,0.972,11,0.0964,-17.605,0,8,https://p.scdn.co/mp3-preview/3c8c4f2d7cbce78c2fc4d583f7ace183924d5e5b?cid=6d24f4609a484836999313e6e4f33db8,1GngP8D4ixBspJdo9JnMlj,"Antistatic, Pt. 1",0.0452,102.476,3,https://api.spotify.com/v1/tracks/1GngP8D4ixBspJdo9JnMlj,5,0.679
2171,0.000933,0dSDOoQ2jDQAjMzkhJQAy9,Reductions 1995–1997,https://api.spotify.com/v1/audio-analysis/26fmZTYJkxfQHZMT02DeRU,3X6ixxUtf9bJr1aZbhFuia,Vainqueur,0.82,1,704537,0.585,0.747,7,0.0905,-11.484,1,8,https://p.scdn.co/mp3-preview/a6c240bcb0620b0ca074f6bf48e9144b14d40a8e?cid=6d24f4609a484836999313e6e4f33db8,26fmZTYJkxfQHZMT02DeRU,Solanus,0.0771,122.377,4,https://api.spotify.com/v1/tracks/26fmZTYJkxfQHZMT02DeRU,3,0.489
2172,0.71,6CqgUKMaqjxbrHo7Xsotmd,Osvajaci 1991 - 1995,https://api.spotify.com/v1/audio-analysis/2oi0BOpnxhw4CKpy8FVKGI,09RibkLromisJSD1qc7xi8,Osvajaci,0.664,1,316616,0.38,2.36e-06,9,0.239,-11.727,0,11,https://p.scdn.co/mp3-preview/147a555ee5b8fc2e570bdb07337d7453553ea9ee?cid=6d24f4609a484836999313e6e4f33db8,2oi0BOpnxhw4CKpy8FVKGI,Mozda nebo zna,0.0308,119.568,4,https://api.spotify.com/v1/tracks/2oi0BOpnxhw4CKpy8FVKGI,9,0.258
2173,0.889,5irqc0pzjJzdVmIKu5DX4Q,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/3aXPbVqpksOEm9d7zRjcix,"1aVONoJ0EM97BB26etc1vo,0M6xcJTswOl2qvExCJhiS3","Steve Reich,Kronos Quartet",0.398,1,538800,0.373,0.193,1,0.121,-14.065,1,7,https://p.scdn.co/mp3-preview/8dc4d4be786e547795d3590d053ba3cb728e03d8?cid=6d24f4609a484836999313e6e4f33db8,3aXPbVqpksOEm9d7zRjcix,Different Trains - America-Before the War [movement 1],0.0524,106.688,4,https://api.spotify.com/v1/tracks/3aXPbVqpksOEm9d7zRjcix,51,0.61
2174,0.995,5irqc0pzjJzdVmIKu5DX4Q,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/41BLqR0jDOhuNDaRa37OMc,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.506,1,408733,0.576,0.934,1,0.2,-16.436,0,7,https://p.scdn.co/mp3-preview/19ae9cd4e109a22efa2c820ee5316a360efc7b9a?cid=6d24f4609a484836999313e6e4f33db8,41BLqR0jDOhuNDaRa37OMc,Music for 18 Musicians: Section V,0.0387,104.496,3,https://api.spotify.com/v1/tracks/41BLqR0jDOhuNDaRa37OMc,19,0.928
2175,0.994,370lBw4JOlF1CeDRKPqfFh,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/4JGDhrrqY0ypQ7lDgrQsq3,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.608,4,259040,0.347,0.884,6,0.0737,-15.567,0,5,https://p.scdn.co/mp3-preview/b41d9b8474abe7508dcea8ae997982da209d3915?cid=6d24f4609a484836999313e6e4f33db8,4JGDhrrqY0ypQ7lDgrQsq3,Music for 18 Musicians: Section VII,0.0737,101.655,3,https://api.spotify.com/v1/tracks/4JGDhrrqY0ypQ7lDgrQsq3,9,0.539
2176,0.000417,2QRVPzlN9XpMASX8Q32yCp,The Archives 1995-2000,https://api.spotify.com/v1/audio-analysis/5R9f4vY9mVFPEzsa44LJOd,3kekxNoUNHgl8dXW3yjC8a,DJ Die,0.697,1,397750,0.95,0.85,1,0.305,-3.165,0,14,https://p.scdn.co/mp3-preview/be58c5c721b30cfdaf310490e5b68da3e8c58ce4?cid=6d24f4609a484836999313e6e4f33db8,5R9f4vY9mVFPEzsa44LJOd,Jitta Bug - Remastered,0.109,174.834,4,https://api.spotify.com/v1/tracks/5R9f4vY9mVFPEzsa44LJOd,8,0.779
2177,0.357,4OGGhnRkT4uFvmEpxdwZ8K,Live At Montreux 1995,https://api.spotify.com/v1/audio-analysis/5Ry4EnGfL8wTRiZXnhRESQ,320TrJub4arztwXRm7kqVO,Dr. John,0.555,1,269227,0.953,0.00688,1,0.952,-8.354,1,4,,5Ry4EnGfL8wTRiZXnhRESQ,"Right Place, Wrong Time - Live",0.112,102.248,4,https://api.spotify.com/v1/tracks/5Ry4EnGfL8wTRiZXnhRESQ,7,0.399
2178,0.00128,2twcvjzNuUQVdvw4TrWuVZ,Incidental Music: 1991 - 1995,https://api.spotify.com/v1/audio-analysis/5bxixuPC7uGOfjCMuIaz41,7lmde7T1WJPFwv1eR6melP,Superchunk,0.231,1,152440,0.957,0.986,4,0.358,-4.102,1,4,https://p.scdn.co/mp3-preview/af346bcc90b67f23d0c4547cddc5cea4641c4c2d?cid=6d24f4609a484836999313e6e4f33db8,5bxixuPC7uGOfjCMuIaz41,Lying in State,0.048,167.764,4,https://api.spotify.com/v1/tracks/5bxixuPC7uGOfjCMuIaz41,13,0.353
2179,0.981,5irqc0pzjJzdVmIKu5DX4Q,Works 1965-1995,https://api.spotify.com/v1/audio-analysis/6KpxuMPf0P37q8lznvC8eA,1aVONoJ0EM97BB26etc1vo,Steve Reich,0.394,1,351067,0.177,0.827,0,0.238,-21.366,0,4,https://p.scdn.co/mp3-preview/a3897782eeb83701da5e2d9cdabb960e4a373972?cid=6d24f4609a484836999313e6e4f33db8,6KpxuMPf0P37q8lznvC8eA,City Life - Check It Out (movement 1),0.0411,90.956,4,https://api.spotify.com/v1/tracks/6KpxuMPf0P37q8lznvC8eA,79,0.294
2180,0.0107,5WnhWPWw5jObxQmoXRHWQ1,1995 - 2010 Pt. 2,https://api.spotify.com/v1/audio-analysis/7efhApDtaXaM7VQqaGjJ51,1Dls90M5yfESjr4MMBRqQG,Matt Atten,0.718,1,215946,0.64,0.914,4,0.0772,-9.32,0,4,https://p.scdn.co/mp3-preview/fcc3e8f8de6c8b7c3c876c77280fe0c080357296?cid=6d24f4609a484836999313e6e4f33db8,7efhApDtaXaM7VQqaGjJ51,008B2,0.0642,180.031,4,https://api.spotify.com/v1/tracks/7efhApDtaXaM7VQqaGjJ51,4,0.625
2181,0.012,1E1e34ouw37L9Bl8tRjcB3,Dunabeat 1995-2010,https://api.spotify.com/v1/audio-analysis/0SGcA8ASec0YoRMnb1UFKY,2NfoORdBTho3Y6Adi6VL5N,Heaven Street Seven,0.559,1,216613,0.888,1.83e-06,9,0.0527,-6.957,1,5,https://p.scdn.co/mp3-preview/4c16bdebcbd8322459211a1b3a26ec6678503141?cid=6d24f4609a484836999313e6e4f33db8,0SGcA8ASec0YoRMnb1UFKY,Dunabeat,0.0583,78.479,4,https://api.spotify.com/v1/tracks/0SGcA8ASec0YoRMnb1UFKY,24,0.722
